name,style,abv,ibu,color
Mango IPA,American IPA,6.2,46.32,6.49
Duvel Clone,Belgian Golden Strong Ale,8.55,25.27,5.65
Zwickel Lager,Kellerbier: Pale Kellerbier,5.23,19.61,4.24
Bohemian Pilsner (Lager),Czech Premium Pale Lager,5.42,49.37,3.62
Christmas Beer,Holiday/Winter Special Spiced Beer,8.04,22.75,28.44
Lingonberry Mead,Other Fruit Melomel,13.38,0,13.2
Smoked Dark Chocolate Stout,American Stout,5.54,50.61,39.73
Hopstand IPA (v3): Citra Amarillo,American IPA,5.88,61.64,5.2
Berliner Weisse,Berliner Weisse,3.26,8.59,3.22
Koko Brown Clone,American Brown Ale,5.65,29.83,21.18
Schoenling Little Kings,Cream Ale,5.53,20.06,3.13
Alesmith Speedway Stout Clone,Russian Imperial Stout,10.03,39.31,50
Apricot Wheat,American Wheat Beer,5.46,16.42,3.23
Jingle All The Way Christmas Ale,Holiday/Winter Special Spiced Beer,6.56,16.13,20.15
American Imperial Stout,Imperial Stout,11.37,85.52,50
Proper Bock,Traditional Bock,7.3,24.52,9.43
Red Beard's Delight,Irish Red Ale,5.72,24.35,17.67
Belgian Quadruple,Belgian Dark Strong Ale,9.51,26.04,26.84
Jamil's Lefty Blond,Belgian Blond Ale,7.45,23.35,6.32
2019 Cucumber Cream Ale,Cream Ale,5.64,26.06,4
NixonBrew - This Stuff Will Make You A G** D*** Sexual Tyrannosaurus,American IPA,7.44,71.85,6.56
Summer Citra Kölsch (a Successful Experiment),Kölsch,4.88,29.71,3.83
Anchor Steam Beer Clone,Clone Beer,4.99,34.77,8.06
Belgian White Ale,Witbier,4.58,15.01,4.02
Death By Coconut (Clone),American Porter,7.24,37.96,42.08
Better Watch Out Christmas Stout,Winter Seasonal Beer,6.81,31.47,36.44
Ky's Maudite,Belgian Dark Strong Ale,8.15,22.84,14.37
Bud Like,Light American Lager,3.58,10.31,2.58
Brandon's Spruce Beer,Winter Seasonal Beer,5.66,51.06,6.75
Dry Stout,Dry Stout,5.85,45.83,40
003,American Pale Ale,4.82,49.63,5.74
Saison Du Tracteur Clone,Saison,5.86,35.15,3.58
Belgian IPA,Specialty IPA: Belgian IPA,6.47,81.54,9.61
Radieuse Variation,Belgian Dubbel,7.89,34.28,18.35
Rye IPA,Specialty IPA: Rye IPA,6.83,72.48,11.78
Citra Kanin NEIPA,American IPA,6.37,57.79,4.25
SeaQuench Ale Clone (Kolsch Only),Kölsch,4.89,10.38,3.38
Hard Seltzer,Other Specialty Cider or Perry,5.01,0,0.87
Imperial Rye IPA,Imperial IPA,8.09,95.46,10.97
Light Lager,Light American Lager,3.36,15.16,1.97
Hoppy Saison,Saison,6.58,135.81,4.43
Ginger Mead,Metheglin,10.89,10.17,3.86
Ridgeline Raspberry Blonde,Blonde Ale,5.03,20.28,5.6
SNPA CLONE-ish,American Pale Ale,5.31,58.47,6.13
SchuBrew Palo Santo Project,American Brown Ale,12.76,50.41,32.22
Verdant Pulp Clone,American IPA,7.17,181.16,6.68
Westvleteren 12 Clone,Belgian Dark Strong Ale,10.5,47.28,31.34
Negra Modelo Clone - Mexico - 20 L,Dark American Lager,5.6,25.46,18.12
"Spiced Porter V3.1 ""Fatty St. Nick's Porter""",Robust Porter,5.93,31.08,25.9
Brown Ale No.4,American Brown Ale,5.56,29.15,24.44
Norwegian Farmhouse Ale,Belgian Specialty Ale,7.77,41.67,10.55
The Chouffe - Strong Belgian Ale,Belgian Golden Strong Ale,7.56,32.27,5.74
Quetzalcoatl Theobroma,Clone Beer,9.74,48.07,21.75
Traditional German Gratzer (Smoked Wheat),Other Smoked Beer,3.42,34.36,2.97
Hitachino's Nest,Witbier,5.31,16.78,3.61
Chimay Doree,Belgian Pale Ale,4.7,19.6,6.62
American Strong Ale,American Strong Ale,8.1,63.86,12.67
Caramel Porter,Robust Porter,5.37,34.9,34.63
Omnipollo,Imperial IPA,7.83,64.92,5.14
Apricot IPA,American IPA,6.03,64.76,7.98
Hells Bells Christmas Ale,Holiday/Winter Special Spiced Beer,7.97,29.47,23.4
EBH Amarillo Session SMaSH,American Pale Ale,4.9,32.82,3.37
EBH Amarillo Session SMaSH,American Pale Ale,4.9,32.82,3.37
Congress Street IPA Clone,American IPA,6.82,75.04,5.75
Peat Smoked Scotch Ale,Wee Heavy,9.77,27.45,17.35
Honey Hefeweizen,Weizen/Weissbier,5,10.75,3.63
Bentspoke Crankshaft Clone,American Pale Ale,5.81,39.43,8.22
Brooklyn Lager Clone BYO,Vienna Lager,5.31,35.74,9.08
Black Widow Porter (with A Few Changes From Original Recipe),Robust Porter,7.26,37.86,38.02
Boulevard Single-Wide I.P.A,English IPA,5.79,58.57,8.13
Kulminator Belgian Dubbel,Belgian Dubbel,7.17,21.68,18.15
Simple Pilsner,Czech Pale Lager,5.46,44.26,3.31
Strawberry Beer,Fruit Beer,5.33,20.96,3.65
Hoegaarden Wit Clone,Witbier,4.93,16.01,4.24
L' Internationale Attempt,Saison,5.8,23.65,3.91
Blood Orange Mead,Sweet Mead,12.7,0,4.29
Voss - Oregonian,American Pale Ale,6.04,48.56,8.23
Bells Brewery - Hopslam Clone,Imperial IPA,9.21,85.28,10.26
003,Witbier,4.33,25.63,6.47
Urquell Clone,Bohemian Pilsener,7.51,38.5,4.39
Chocolate Peppermint Porter,Winter Seasonal Beer,6.36,11.02,23.47
MZZ Porter,Robust Porter,5.93,36.58,34.87
Raspberry Cream Gose,Gose,4.38,9.37,3.86
X Marks The Spot IPA,American IPA,6.61,68.22,13.59
Raspberry Sour,Berliner Weisse,6.13,13.6,5.38
Tiddleyfunkum - Brown Ale,Northern English Brown,4.38,26.97,19.84
Dusseldorf Alt,Düsseldorf Altbier,5.28,36.07,13.6
Amarillo Pale Ale,American Pale Ale,5.09,42.84,3.28
Honey Ginger Peppercorn IPA,Imperial IPA,6.37,108.45,8.78
Sour Cherry Berliner Weisse,Weizen/Weissbier,5.15,13.05,3.59
Jalapeno Pale,American Pale Ale,5.82,34.16,8.7
Mocktoberfest,Oktoberfest/Märzen,5.58,42.99,9.25
Southern Tier Brewing Co. - Unearthly Imperial India Pale Ale Clone,Imperial IPA,11.09,100,8.03
Belhaven Scottish Ale,Scottish Export,5.23,24.63,29.48
Honey Wheat,American Wheat Beer,6.83,35.11,6.73
Autumn's Bounty Imperial Maple Nut Brown Ale,American Brown Ale,8.56,46.5,31.66
Motueka Pilsner,Bohemian Pilsener,5.22,36.59,5.39
2020 Fail Ale,American Pale Ale,5.63,36.56,6.07
Double Honey Saison,Belgian Blond Ale,9.2,51.47,10.22
Heady Topper Clone,American IPA,7.76,127.34,5.47
Snifter Grade IIPA (experimental),Imperial IPA,8.08,118.25,13.3
New Belgium Ranger IPA,American IPA,6.71,68.28,8.67
Alaskan Smoked Porter Clone,Specialty Smoked Beer,6.38,41.91,37.7
Revolution Anti-Hero Clone,American IPA,6.82,70.04,8.96
Horchata Cream Ale,American Light Lager,5.43,15.9,3.24
Winter Ipa,American IPA,6.12,63.63,10.12
Thornbridge Jaipur Clone,American IPA,4.2,62.2,5.96
American White,American Wheat Beer,6.04,29.13,3.9
La Chouffe Clone,Belgian Golden Strong Ale,6.09,21.34,5.55
Goose Island County Bourbon Stout Clone,American Stout,13.67,66.84,43.44
Raspberry Wheat,Witbier,6.36,14.44,6.18
Sapporo Clone,Standard American Lager,5.17,22.16,4.08
The Innkeeper,Special/Best/Premium Bitter,4.31,28.18,7.62
Imperial Baltic Porter,Baltic Porter,10.6,21.32,41.39
Pennsylvania Tuxedo,American Strong Ale,7.36,52.31,7.89
Tripel T-58,Belgian Tripel,7.11,17.88,7.88
Strawberry Cream Ale,Cream Ale,4.51,36.71,4.3
British Strong,British Strong Ale,7.45,49.63,17.85
WEIZEN BOCK,Weizenbock,7.95,22.51,16.13
Imperial Saison W/Lemongrass & Ginger,Saison,8.43,17.43,11.51
Orange Creamsicle Ale,Cream Ale,4.98,12.59,2.95
Italian Pilsner,German Pilsner (Pils),4.85,42.07,4.58
Aurora Hoppyalis Clone (brewed),American IPA,7.31,112.51,6.64
NEIPA 2019,Specialty IPA: New England IPA,7.3,92.02,6.4
Heretic Evil Twin / Approximation - Braumeister 20L,Specialty IPA: Red IPA,6.37,40.18,19.01
Apricot Ale Clone,American Pale Ale,6.37,41.98,7.23
Everyday Ale (196),Cream Ale,4.74,22.43,3.34
American Light Lager,Light American Lager,3.78,17.77,2.28
Apple Strudel Tripel,Belgian Specialty Ale,10.63,1.41,10.31
Lucky's Red & Snarly,American IPA,5.56,55.91,10.98
Sour Baby Jesus,Foreign Extra Stout,7.42,35.43,50
Redneck Rye Wine,American Barleywine,13.89,38.57,14.51
Gamma Ray Clone,American Pale Ale,7.59,60.25,8.05
Christmas Beer - Quadrupel,Belgian Specialty Ale,10.41,19.71,23.7
Christmas Ale,Holiday/Winter Special Spiced Beer,6.82,22.99,24.01
Kentucky Bourbon Barrel Ale,Wood-Aged Beer,8.25,8.79,19.59
Juicy Fruit IPA,Double IPA,7.52,0,7.07
Raspberry Berliner,Berliner Weisse,4.53,10.74,3.24
Vanilla Coffee Blonde,Blonde Ale,4.83,35.68,3.29
Citra Double IPA,Imperial IPA,8.23,105.53,6.57
Maple Brown Ale,British Brown Ale,7.23,42.84,22.36
Purple Haze Clone,Fruit Beer,4.3,12.56,2.62
Hoegaarden Witbier Clone,Witbier,4.12,13.64,3.88
Little Miss Liquid (Liquid Mistress Clone),American Amber Ale,6.25,50.9,23.26
Brooklyn Summer Ale,Blonde Ale,5.11,18.51,4.64
Guinness Draught Clone,Dry Stout,4.6,41.96,39.89
Imperial Oatmeal Milk Stout,Oatmeal Stout,8.69,43.66,39.52
Orval Trappist,Trappist Single,7.19,29.39,11.77
Cold Smoke Scotch Ale Clone,Scottish Heavy,6.31,10.83,18.07
New Belgium Brewing - Fat Tire Clone,Belgian Specialty Ale,5.96,28.46,19.22
Double Sunshine Clone,Double IPA,8.04,146.25,8.38
India Pale Lager,Premium American Lager,5.05,53.1,7.16
Citra Pond Pale Ale- 1 Gallon,American Pale Ale,4.43,68.26,10.66
Sosus/King Sue,American IPA,8.86,105.48,7.63
Triple IPA,American IPA,11.03,80.96,12.84
Simple Cascade IPA - One Gallon,American IPA,8.21,45.94,13.55
Standard Golden,British Golden Ale,5.33,27.57,5.44
London Pride Clone,Best Bitter,4.82,38.31,12.51
Westmalle Dubbel,Belgian Dubbel,6.36,29.33,26.03
Salvator Clone,Doppelbock,7.96,52.86,13.76
Guiness Clone X2.5 (Brewed 2/6/16),Irish Stout,7.14,43.4,50
Dunkelweizen,Dunkelweizen,4.39,13.23,10.08
Dunkelweizen,Dunkelweizen,4.39,13.23,10.08
Hard Root Beer,Specialty Beer,7.04,0,20.37
Mickey's Malt Liquor,American Light Lager,8.02,37.37,2.48
This Is Spinal Tap Ale,Imperial IPA,7.57,92.07,8.69
Kern River Brewing Citra Double IPA,Imperial IPA,8.35,93.19,5.7
Redd's Apple Ale Clone,Clone Beer,4.45,0,2.4
Bakke Brygg American IPA 20 L,American IPA,6.85,71.86,6.89
Sculpin IPA Clone,American IPA,6.83,62.52,8.83
Galaxy Behind The Sun,Blonde Ale,4.33,26.4,5.56
Witbier,Witbier,4.69,20.19,3.3
Technical K.O. (Rusty Rex),American Amber Ale,5.36,35.15,12.68
Black Sand Cascadian Ale,American IPA,6.95,99.62,40.69
Cascade Cream Ale,Cream Ale,5.83,21.65,6.84
Fat Tug IPA,American IPA,7.15,159.43,11.13
Best Bitter,Special/Best/Premium Bitter,4.4,40.78,10.33
Shiner Ruby Redbird Clone,Fruit Beer,5.97,13.04,5.93
Citra Mosaic NEIPA,American IPA,5.82,88.86,5.86
American Amber,American Amber Ale,4.91,40.78,11.11
Ayinger Maibock Clone,Maibock/Helles Bock,6.55,19.67,5.78
Kettle Sour Farmhouse W/ Tart Cherries,Mixed-Fermentation Sour Beer,6.72,25.1,3.76
Shipyard Pumpkinhead Clone,Fruit Beer,5.33,19.13,4.08
American Light Ale,American Light Lager,4.73,13.46,2.33
Pumpkin Of 9 Grains,Holiday/Winter Special Spiced Beer,6.14,27.41,15.48
Denny's Wry Smile IPA,Imperial IPA,7.85,67.27,11.51
3 Gallon Imperial Stout,Russian Imperial Stout,8.73,60.12,50
Schneider Tap 7  Clone,Weissbier,5.4,11.24,12.49
IPA SIMCOE (EL DIA DE LA CERVEZA),American IPA,6.12,42.79,6.09
Sweet California Blonde,Blonde Ale,6.16,23.04,6.68
German Pilsner,German Pils,5.29,34.53,3.55
Kolsch (Extract Beer Kit),Kölsch,5.21,24.2,18.98
Kentish Ale,Special/Best/Premium Bitter,4.84,36.68,11.63
Lervik Lucky Jack Clone,American Pale Ale,5.14,36.89,8.02
Guinness Clone,Irish Stout,4.37,42.44,38.88
Youngs Bitter Clone,Standard/Ordinary Bitter,3.67,32.2,13.1
Belgian Blonde,Belgian Blond Ale,7.71,28.5,5.07
Gose,Gose,4.74,6.61,3.63
Schneider Weisse Aventinus Weizenbock Tap6 Clone,Weizenbock,6.71,35.95,24.29
Hop Back Summer Lightning Clone,Ordinary Bitter,4.72,29.02,7.12
Black Cherry IPA,Specialty IPA: Black IPA,5.64,110.85,44.32
Golden Haze IPA,Specialty IPA: New England IPA,5.95,59.29,5.86
"Kolsch, All Grain",Kölsch,4.93,18.07,4.6
LoCal IPA,American IPA,4,0,1.97
Peroni Clone,German Pils,5.15,22.71,2.86
Unemployment IPA (Stone IPA Clone),American IPA,0,0,0
Raspberry Milkshake IPA,Fruit Beer,6.26,71.17,8.68
Dirty Blonde,California Common Beer,4.88,17.03,3.76
SkullSplitter Clone,Scottish Heavy 70/-,9.56,26,22
Cranberry Mead,Other Fruit Melomel,10.68,0,12.82
Weisteiner Premium Verum Clone,German Pilsner (Pils),5.21,33.15,4.01
Saaz It Up Ale,Blonde Ale,4.86,27.47,6.21
SMaSH APA,American Pale Ale,5.88,43.93,5.84
Belgian Pale Ale,Belgian Pale Ale,5.24,30.54,13.16
Full Sail Amber,American Amber Ale,5.53,37.31,14.51
Black IPA,Specialty IPA: Black IPA,7.7,95.85,50
Heavy  Oil  - Braumeister 20L,Russian Imperial Stout,11.34,44.28,50
Scotty's Neapolitan Milk Stout,Sweet Stout,5.01,21.3,38.01
Leffe Brune,Belgian Golden Strong Ale,6.66,27.74,17.16
Centennial Blonde Ale,Blonde Ale,4.76,35.32,4.42
Founders Porter Clone,Robust Porter,6.18,52.41,39.79
Ægir Witbier,Witbier,5.03,18.2,5.53
ESB SMaSH EKG,Extra Special/Strong Bitter (ESB),5.35,38.68,3.86
English Strong Ale,British Strong Ale,7.53,63.82,12.05
Minesweeper,Extra Special/Strong Bitter (ESB),6.07,38.37,14.74
Deschutes Black Butte Porter,American Porter,5.79,28.27,31.62
MGD CLONE 3,American Light Lager,5.26,14.1,2.48
Flanders Red,Flanders Red Ale,6.45,13.51,12.92
CREAMY CREAM ALE,Cream Ale,4.96,16.22,3.07
Clone - Wanderlust IPA,American IPA,6.77,77.93,8.15
Bakke Brygg Oktoberfest/Märzen 50 L,Oktoberfest/Märzen,5.3,24.5,8.84
No Corn Syrup June 19,International Pale Lager,5.52,16.82,5.21
Fuggle IPA,English IPA,5.94,41.2,10.86
Citra White IPA  2/13/16,Specialty IPA: White IPA,7.2,67.23,4.58
Honey Orange Wheat (Eugene City Brewery Clone),Belgian Specialty Ale,4.94,12.43,6.76
Hazy/juicy NEIPA,American IPA,3.27,41.16,5.75
The Wolpertinger's Delight: A Bavarian Weißbier,Weizen/Weissbier,7.75,22.96,5.3
American Wheat,American Wheat or Rye Beer,4.79,18.16,3.49
Trillium Fort Point Pale Ale,American IPA,6.53,48.75,4.24
Rhubarb Ale,Experimental Beer,5.7,49.43,4.69
White Stout,Mixed-Style Beer,7.97,56.02,9.11
Imperial Stout Speidel 50 L,Russian Imperial Stout,9.71,78.22,40
The Dude Abides White Russian Imperial Stout,Russian Imperial Stout,11.25,67.19,40
Blackberry Porter,Robust Porter,4.94,28.42,30.85
Electric Jellyfish IPA,American IPA,6.54,73.81,6.11
Oatmeal Stout,Oatmeal Stout,6.09,35.41,30.28
Simple IPA,American IPA,6.81,56.28,10.44
La Trappe Dubbel,Belgian Dubbel,7.19,22.26,50
Saison Grissette,Saison,6.59,28.2,4.12
Hobbit Hole Mild Ale,Mild,3.67,24.06,16.96
Milky Vanilla Caramel Stout,Sweet Stout,4.08,44.11,35.25
Coffee Stout - 2 Gallon,American Stout,7.27,39.87,37.27
Marston's Pedigree (Original),Extra Special/Strong Bitter (ESB),4.29,44.66,9.84
Gingerbread Porter,Holiday/Winter Special Spiced Beer,5.9,25.69,31.01
Blueberry Milkshake IPA,American IPA,5.63,89.22,9.69
Gordon Strong's Oktoberfest,Oktoberfest/Märzen,5.45,21.01,9.41
Punk Ipa,American IPA,6.59,54.72,6.35
Naboo NEIPA Aka Jedi Juice Clone,Specialty IPA: New England IPA,7.01,35.89,4.75
Chimay White,Belgian Tripel,7.98,28.4,6.76
Strawberry Cider,Fruit Beer,5.46,0,0
Lost Coast Tangerine Wheat AG,Fruit Beer,5.77,30.5,4.88
Pineapple Wheat Beer,American Wheat Beer,5.09,17.84,5.74
Stone & Wood Pacific Ale,American Pale Ale,5.15,21.63,3.53
Peach Saison,Saison,5.76,27.73,3.98
De Ranke XX Bitter Clone,Belgian Pale Ale,5.88,80.54,3.24
Blue Moon Clone,Witbier,5.79,12.18,4.46
Blind Pig IPA Clone,American IPA,5.24,61.74,5.61
Hopfenweisse,Weizen/Weissbier,7.51,54.63,4.44
Anniversary N. E. IPA,Specialty IPA: New England IPA,6.26,51.95,4.37
Rotbier,Vienna Lager,5.08,30,12.01
Juicy Bits - New England Style IPA,American IPA,7.09,75.13,4.43
Hoppy Cream Ale,Cream Ale,5.88,94.03,3.26
NEIPA,American IPA,6.62,54.59,5.71
English Mild Ale,Mild,3.06,16.27,13.08
Irish Death Extract Clone,Specialty Beer,7.78,44.49,36.52
Centennial Pale Ale,American IPA,6.08,65.82,8.19
Tommys Red,Irish Red Ale,4.98,20.77,13.7
Miami Weiss,Fruit Beer,6.11,17.31,4.56
Nenna Irish Red Ale,Irish Red Ale,4.77,22.62,11.02
Honey Kolsch,Kölsch,5.2,23,4.1
Patersbier (All Grain),Belgian Specialty Ale,5.25,19.45,2.88
Kjeller 5 Sommerøl 2016,Blonde Ale,4.47,19.52,3.28
Bocktoberfest,Traditional Bock,5.31,20.65,16.01
Blood Of Wallace,Strong Scotch Ale,9.17,14.86,25.18
Samuel Smith's Oatmeal Stout,Oatmeal Stout,5.95,36.55,25.5
Merry Monks Tripel Clone,Belgian Tripel,8.55,19.06,3.59
Basil Pepper Saison,Saison,7.3,49.05,4.41
Cinnamon Toast Crunch Brown Ale,American Brown Ale,5.71,22.42,16.99
TBM Easy Blonde 15 (Larry),Blonde Ale,4.87,24.53,4.53
Scotch Whisky Mash (58 L),Specialty Smoked Beer,9.03,0,5.9
Pale Ale,American Pale Ale,7.17,40.77,10.68
Belgian Dubbel,Belgian Dubbel,6.79,18.01,26.05
Juicy Bits NEIPA,Specialty IPA: New England IPA,7.29,65.19,6.44
20170315 - Rolling Rock Clone,Blonde Ale,5.3,16.28,2.82
Merry Monks,Belgian Tripel,9.34,22.31,6.27
Passion Fruit IPA,American IPA,6.62,72.67,10.71
Fuller's ESB Clone,Strong Bitter,5.95,34.06,17.11
Black Barleywine,American Barleywine,11.3,100.36,33.13
Kronenbourg Blanc 1664 Clone,Witbier,5.19,19.2,3.15
Blackberry Saison,Saison,5.67,34.43,3.98
Irish Cream Stout,Sweet Stout,5.79,26.87,44.73
White House Honey Porter,Robust Porter,5.49,19.87,30.44
Bakke Brygg Irish Red Ale 25 L,Irish Red Ale,4.29,26.46,14.71
Grolsch Imperial Lager,German Pilsner (Pils),5.57,36.65,4.18
Beer Brut,Experimental Beer,11.39,50.57,5.06
Kaiser Alt,Düsseldorf Altbier,4.69,26.11,12.27
Coffee MIlk Stout,American Stout,5.17,24.63,37.66
Boddingtons Clone,Ordinary Bitter,4.38,40.26,10.36
Bakke Brygg Bramling Cross IPA 25 L,English IPA,6.71,53.71,11.65
#0008 Hoegaarden Clone,Witbier,4.86,14.8,3.89
Dark_Mild_III,Dark Mild,3.73,24.22,19.26
Founders Mosaic Promise,Blonde Ale,5.88,61.15,4.99
Eggnog Milk Stout,American Stout,5.55,58.3,37.29
This Buds For You,Light American Lager,4.13,12.59,2.62
Port O' Palmer,Robust Porter,4.89,51.41,30.15
2020 Scottih Ale Rev1,Scottish Heavy,3.73,10.45,13.02
Bodhi Clone (December 2014),Imperial IPA,9.37,124.55,5.03
Pivo Hoppy Pils,German Pils,5,38.83,2.84
Dark Prince Black IPA,Specialty IPA: Black IPA,6.08,90.5,30.94
Raspberry Wheat,Fruit Beer,5.59,23.81,3.85
Chocolate Maple Porter,Brown Porter,4.23,36.54,40
Twisting Melon,American Wheat Beer,5.77,25.8,4.38
Vienna Blonde,Blonde Ale,4.3,18,4.1
Deschutes Twilight Summer Ale Clone V1.3,American Pale Ale,5.34,35.78,6.15
Kona Fire Rock Pale Ale Clone,American Pale Ale,5.67,39.93,7.45
Bitter Bride ESB,Strong Bitter,5.54,45.47,12.12
Cranberry Saison,Saison,8.44,29.35,10.64
Simcoe IPA,American IPA,7.03,51.08,9.07
Weizenbock,Weizenbock,6.54,13.97,16.75
Resolution,Saison,6.88,31.06,8.35
Bakke Brygg Tysk Pilsner 50 L,German Pils,4.8,30.99,3.32
Carrot Cake Ale,"Spice, Herb, or Vegetable Beer",6.73,18.16,14.85
Founders KBS Clone,Imperial Stout,9.01,65,50
Mosaic SMaSH IPA (Chris),American IPA,6.4,73.62,7.12
Big Black Gourd,Imperial Stout,13.62,32.05,50
Belgian Witbier,Witbier,5.01,17.3,3.81
Green Bullet IPA,American IPA,6.01,62.41,7.68
West Coast IPA 10,American IPA,8.36,61.04,7.41
Sika Red,American Strong Ale,8.9,67.81,18.9
Strawberry Wheat,American Wheat Beer,4.88,22.46,4.06
Super Easy Oatmeal Stout,American Stout,6.03,34.95,37.02
Cream Ale (5 BIAB),Cream Ale,4.9,17.45,3.79
Beowulf,Imperial IPA,11.29,230.94,12.27
Emersons Pilsner Clone,Classic American Pilsner,5.46,39.53,4.04
Single Hop Centennial Pale,American Pale Ale,5.97,29.75,7.16
Research 005 Irish Red Ale By Jamil Zainasheff,Irish Red Ale,5.45,22.95,18.16
Lemon/Lime Gose,Gose,4.3,8.49,3.23
Vanilla Caramel Porter,Robust Porter,5.75,21.12,31.91
Galaxy Pale Ale,American Pale Ale,5.42,41.89,5.93
Westmalle Extra,Trappist Single,4.91,31.44,3
Eld Och Radium 2,American Pale Ale,5.33,43.1,9.09
East Coast IPA V2,American IPA,6.66,92.86,5.78
Kernel Citra Double Ipa,Double IPA,9.07,65.33,5.56
Simple First All Grain,American Brown Ale,5.58,43.15,18
Pumpkin Porter,Brown Porter,5.51,32.74,19.59
Belgian White Ale,Belgian Pale Ale,5.45,12.9,4.22
Chocolate Peanut Butter Stout,Sweet Stout,4.74,14.86,33.63
XBEER WITBIER - HOEGAARDEN,Witbier,5.1,19.2,3.56
Cream Ale With Corn Meal Brewed 03-11-2014,Cream Ale,4.09,15.61,2.63
Scottish/Scotch Strong Ale,Strong Scotch Ale,9.47,37.82,16.42
Red Lager,Specialty Beer,5.61,20.51,10.32
Sick Ipa,American IPA,10.96,561.93,40
RUD Red IPA - Low ABV,American IPA,2.94,57.21,15.8
Hibernation Ale,Old Ale,8.12,53.13,21.26
Salmon Fly Honey Rye,American Pale Ale,6.08,29.92,6.74
A LIL’ SLACK IPA,American IPA,6.46,60.55,7.43
Far Out Stout,Sweet Stout,5.95,31.55,44.33
Alpine Duet,American IPA,6.67,41.57,8.08
Monkish,Specialty IPA: New England IPA,7.25,143.12,5.68
Even More Jesus,Imperial Stout,10.23,57.82,50
Amber Of The Vale V2.6,American Amber Ale,5.63,32.3,12.85
Kevin (Jamil's) Vienna Lager,Märzen,4.93,25.59,10.75
Red Wheat Beer,American Wheat Beer,5.67,28.09,16.46
West Coast Pale Ale,American Pale Ale,5.12,49.66,7.7
Elderflower Ale,Standard/Ordinary Bitter,5.82,53.59,6.3
Vanilla Milk Stout,Sweet Stout,4.69,23.53,42.88
Orange Honey Wheat Ale,American Wheat Beer,5.65,35.35,6.71
Bakke Brygg Altbier 25 L,Altbier,4.94,42.56,14.51
Blood Orange Gose,Gose,4.74,0,3.42
Speidel #1 IPA,American IPA,6.46,70.37,8.25
Solsvik Weissbier,Weissbier,4.68,17.72,4.25
Hop Forward Zythos Pale Ale,American Pale Ale,6.3,34.8,6.57
Smoked Porter,Robust Porter,6.74,36.84,27.26
Delirium Tremens Clone,Belgian Golden Strong Ale,8.78,33.92,4.99
Bakke Brygg Kölsch 50 L,Kölsch,4.86,23.49,3.45
"Brewferm Biere Blanche Tarwebier 1,5 Kg",Weizen/Weissbier,4.92,0,3.79
Big Wave Golden Ale Clone,Blonde Ale,4.59,22.47,6.42
Jack's Snickerdoodle Cream Ale,Cream Ale,5.52,24.25,6.19
Key Lime Mead,Experimental Beer,13.44,0,5.39
CASEY DOPPELBOCK,Doppelbock,8.85,21.3,12.64
Theakston Old Peculier,Northern English Brown,5.14,21.98,14.09
Harpoon IPA Clone,American IPA,5.78,45.14,11.38
Strawberry Milkshake IPA,American IPA,7.55,44.41,8.07
End Of The World DOUBLE BarleyWine,American Barleywine,18.38,191.34,23.74
Peaches And Cream,Cream Ale,5.09,14.08,4.08
Julie's Blonde Ale (Vanilla-Coffee Blonde),Blonde Ale,4.48,22.85,5.19
Single Malt Single Hop,American Pale Ale,6.02,70.77,7.35
Saison Secale,Saison,6.66,26.72,9.97
Caramel Amber Ale,American Amber Ale,4.94,39.61,16.1
Light Ale,Blonde Ale,4.09,16.76,3.66
Pirate Life -Throwback,American IPA,3.85,33.22,5.1
Cacau Ipa,American IPA,6.52,47.75,11.62
Ballast Point-Grunion Extract Clone,American Pale Ale,5.83,33.52,5.94
Bakke Brygg Tripel 20 L,Belgian Tripel,8.93,29.17,4.81
Space Dust Tribute,Double IPA,7.86,82.33,4.84
Kolsch,Kölsch,4.55,21.91,3.58
Farmhouse Saison,Saison,5.83,21.22,4.82
Denny Conn's Bourbon Vanilla Porter,Robust Porter,8.21,29.7,40
Orval Clone,Trappist Single,6.88,33.52,11.84
Dry Dock Paragon Apricot Blonde,Blonde Ale,5.67,23.1,5.62
Citra NEIPA,American IPA,6.87,66.86,6.54
Imperial Stout BIAB,Imperial Stout,9.51,76.95,50
Fuller's London Porter Clone,English Porter,5.31,33.52,30.55
Citra Double IPA,American IPA,7.37,90.89,6.29
Grapefruit Shandy,American IPA,6.78,69.45,10.21
Prco Party Beer,American Pale Ale,5.52,42.15,11.38
Peach Saison,Saison,5.65,27.55,9.94
Ten Pounds Brewing: Red Barbarian,Specialty IPA: Red IPA,6.48,72.48,15.41
Dead Guy Clone,Maibock/Helles Bock,6.46,38.61,10.75
New Albion Ale Clone,American Pale Ale,5.14,30.04,3.95
POG IPA,American IPA,6.06,65.59,4.74
Lagunitas Hop Stoopid Clone,American IPA,6.84,148.96,5.34
Hazy NEIPA,Specialty IPA: New England IPA,7.11,106.52,4.59
Belgian Dark Strong Ale I,Belgian Dark Strong Ale,8.18,28.84,34.93
Blonde Ale - Centennial Blonde,Blonde Ale,4.5,19.84,4.28
Double IPA,Double IPA,10.1,109.73,8.36
Firestone Union Jack Clone,American IPA,6.73,97.91,7.04
Shock Top (ISH. ISH. ISH) !!!,Classic American Pilsner,5.84,28.77,3.64
Robinson's Old Tom Clone,Old Ale,8.3,30.29,20.79
Hop Lager,American Lager,4.65,24.94,3.53
Kilt Remover 2017,Scottish Export,11.77,32.65,15.73
