Broke-Ass Secksial Chockolatt,Imperial Stout,9.76,44.74,50
How Rye I Am (Rye Saison),Saison,6.65,31.24,5.32
TCP-IPA,American IPA,7.07,45.37,6.83
#6 Svigermors Påske,Kölsch,4.8,37.31,4.56
How Rye I Am (Rye Saison),Saison,6.65,31.24,5.32
#6 Svigermors Påske,Kölsch,4.8,37.31,4.56
Gose W/ Acidulated Malt And Comet Hops,Gueuze,4.1,6.42,3.83
Spotted Cow Clone,Cream Ale,4.7,20.47,4.73
Eric's Winter Kolsch Larger Boil,Kölsch,4.97,25.55,3.53
SchuBrew DoppleBock,Doppelbock,8.59,28.03,23.18
4323 Amber Ale,American Amber Ale,4.37,50.47,16.82
New IPA,American IPA,5.76,60.39,6.73
Solstice Summer Ale,Blonde Ale,4.61,26.34,3.71
Stokksund Blonde 30l,Belgian Blond Ale,7.04,27.06,5.93
Munich Helles,Munich Helles,4.95,19.87,3.62
Cascade Blonde,Blonde Ale,4.69,22.71,3.69
Rasputin's Blood,Russian Imperial Stout,8.8,56.41,37.77
Brewmasters Reserve Oktoberfest,No Profile Selected,4.27,38.58,11.16
Sour Wheat,Berliner Weisse,4.51,4.4,2.35
Willamette Smash,American Pale Ale,4.96,41.73,11.65
Generic Pale Ale,American Pale Ale,5.02,24.61,6.12
Florasian Saison,Saison,6.89,31.54,7.53
Instante V2,Belgian Golden Strong Ale,7.81,35.95,7.18
Hoegaarden Clone,Weissbier,5.11,14.7,3.3
Nattdykk - HoP Porter,Robust Porter,6.11,37.26,37.39
Cereale Killer,American Pale Ale,4.71,35.31,5.54
#25 Imperial Stout With Cacao Nibs,Imperial Stout,10.01,47.71,50
Hoegaarden Clone,Weissbier,5.11,14.7,3.3
Raspberry Wit,Witbier,7.72,28.25,4.43
Sculpin Clone,American IPA,7.26,73.99,6.27
Blueberry Ale,Fruit Beer,5.72,15.56,14.45
Lemon Gose,Mixed-Fermentation Sour Beer,5.81,11.86,4.56
Crags Ale - 30l,Best Bitter,4.29,33.29,8.56
Summer Ale I,Blonde Ale,4.43,26.64,3.23
Hazy Hop Burst IPA R0,American IPA,6.54,26.82,4.21
Cock Soup Gold,British Golden Ale,4.32,39.77,6.51
Czechis 2.0,Czech Premium Pale Lager,5.5,39,4.96
Hoppy Hard Cider,English Cider,5.72,0,0
SMASH Irish Pale Ale Malt Apollo Hops,American Pale Ale,5.36,45.57,5.1
Single Hop Citra IPA,American IPA,6.03,100.22,3.64
Hoppy Red Ale,Irish Red Ale,5.29,52.93,22.22
Chocolate Wheat,American Wheat or Rye Beer,5.47,21.13,23.18
IPA Experiment #5 (My Name Is Jonas - A Side),Specialty IPA: New England IPA,7.29,100.61,7.97
Diy Stout,Dry Stout,4.43,37.23,31.22
Diy Stout,Dry Stout,4.43,37.23,31.22
Bitburger Clone,German Pilsner (Pils),5.27,36.17,2.99
Blonde Ale,Blonde Ale,4.4,21.71,4.44
Pinglehead Imperial Red Ale Clone,Specialty Beer,7.84,67.46,16.98
Sam The Eagle,American IPA,5.34,36.66,8.02
Alt,Altbier,4.69,41.95,13.31
Gorillaman Stout,American Stout,4.78,65.28,95.59
TBM Easy Blonde 15,Blonde Ale,4.79,23.7,3.65
Dos Equis/corona/tsingtao Fusion,International Pale Lager,4.71,20.43,4.16
Brutus Barleywine,Old Ale,11.97,92.17,7.19
Shiny Head Red,Irish Red Ale,6.29,21.94,20.32
Legends Never Die NC Saison,Saison,5.97,27.27,5.8
80 Schilling Export,Scottish Export 80/-,4.65,19.94,14.09
Jule NEIPA,Specialty IPA: New England IPA,6.74,100.01,4.75
SUPER HORNET 23L,Double IPA,8.74,76.18,7.79
Willamette Pale Ale,American Pale Ale,5.72,41.29,4.01
Irish Red Ale 1 Gallon Extract Recipe Kit,Irish Red Ale,3.22,67.49,6.21
Chocolate Wheat Porter,Brown Porter,5.03,30.06,24.26
Leffe Blond,Belgian Pale Ale,6.62,25.57,4.21
Cold Mountain Variant Clone Mk 1,Holiday/Winter Special Spiced Beer,6.43,21.61,21.58
Irish Red Ale 1 Gallon Extract Recipe Kit,Irish Red Ale,3.22,67.49,6.21
Polish Lager II,German Pilsner (Pils),5.09,29.75,3.48
Morning Wood,Oatmeal Stout,5.39,30.62,39.54
Brett IPA,Specialty IPA: Belgian IPA,6.61,91.34,7.38
Row 2 Hill 56 Clone,American Pale Ale,6.12,49.61,6.28
#33: Winterfest Ale,Holiday/Winter Special Spiced Beer,6.85,38.38,19.56
Macadamia Nut Chocolate Porter,American Porter,6,47.51,50
Stone Enjoy By 12.11.15,Imperial IPA,9,608.24,5.38
Burn Control - Blackened Wheat Beer,Specialty Beer,5.44,17.87,24.03
Aegir's Wrath Double IPA,Imperial IPA,8.02,120.12,7.92
Easy IPA,American IPA,6.61,67.58,5.3
Raspberry Sour,Fruit Lambic,6.4,0,3.42
Rye ESB,Strong Bitter,4.7,43.81,12.35
Chocolate Cherry Milk Stout,Oatmeal Stout,4.94,25.6,30.54
Pine Tar Stout,Foreign Extra Stout,7.54,36.67,40
American IPA I,American IPA,6.11,100.63,5.1
Sex Pistols Smoky Beer,Other Smoked Beer,3.43,28.93,21.6
Bateman's XXXB,Extra Special/Strong Bitter (ESB),5.03,55.29,10.92
Easy American IPA,American IPA,6.07,61.83,9.28
Southern Tier Live Clone,American Pale Ale,5.44,63.62,9.57
The Wall (Pacifico Clone),International Pale Lager,5.53,23.02,5.11
Easy American IPA,American IPA,6.07,61.83,9.28
NB Dry Irish Stout,Irish Stout,4.15,49.18,38.75
Pre Prohibition Porter,Pre-Prohibition Porter,5.91,22.43,21.48
Chocolate Espresso Stout,Oatmeal Stout,6.07,21.44,37.81
Imperial Stout,English Porter,6.8,30.53,37.36
New Zealand Fusion Lager,Experimental Beer,5.44,51.4,8.63
BJCP Championship IPA !!!! Grain 2nd Version,American IPA,5.88,126.91,10.85
Black Razz Beer,Fruit Beer,4.74,14.21,6.99
Citra Ipa,American IPA,6.79,86.35,12.86
The Great Prostitute (Union Jack IPA),American IPA,8.48,63.07,6.99
AH Citra Kah!,American IPA,6.1,12.23,16.96
Pale Ale,American Pale Ale,4.84,43.29,7.86
English Not Mild,British Strong Ale,5.91,44.26,18.77
Ali's Gingerbread Tiger,Winter Seasonal Beer,3.18,14.31,25.3
