name,style,abv,ibu,color
Belgian Tripel,Belgian Tripel,9.42,39.18,4.72 °L
Hefe-Weisse Paulaner Clone,Weizen/Weissbier,5.31,12.17,4.8 °L
I See Red Ale,Irish Red Ale,5.28,22.35,17.57 °L
Honey Nut Cheerio,Northern English Brown,5.21,29.54,9.8 °L
The Real Authentic German Hefeweizen,Weizen/Weissbier,5.14,14.3,4.03 °L
Mosaic Promise Clone Rev. 1,American IPA,5.65,49.96,4.78 °L
Hibiscus Wheat,Weizen/Weissbier,5.78,22.39,9.1 °L
Harp Irish Lager Clone,Premium American Lager,5.34,25.12,3.46 °L
Blackberry Wheat,Specialty Beer,5.24,11.01,5.16 °L
Centennial IPA,American IPA,6.19,65.24,10.22 °L
Wit0915,Witbier,4.96,16.25,4.64 °L
Kiwanda Cream Ale,Cream Ale,5.21,17.09,3.08 °L
Left Hand Milk Stout (Clone),American Stout,6.87,15.12,28.97 °L
Dreaded Christmas Ale -SBA,Holiday/Winter Special Spiced Beer,6.42,13.31,20.3 °L
White IPA,Imperial IPA,7.59,90.6,4.52 °L
Smoked IPA,Other Smoked Beer,6.95,62.52,13.17 °L
Honey Nut Brown Ale Biab,Northern English Brown,6.04,37.41,18.67 °L
Citra & Raspberry IPA Smoothie,Fruit Beer,6.16,58.65,8.36 °L
American Porter,American Porter,5.62,44.95,30.02 °L
Blood & Honey Clone,American Wheat Beer,7.14,21.03,4.15 °L
Cascade 2-Row Smash,American Pale Ale,5.11,45.01,3.37 °L
Coconut Porter,American Porter,6.54,42.05,35.78 °L
Peach Milkshake IPA,American IPA,8.79,254.35,5.38 °L
Grapefruit Sculpin Clone,American IPA,7.11,69.99,6.35 °L
Sierra Nevada Torpedo Clone,American IPA,6.18,56,6.68 °L
American Orange Wheat,American Wheat or Rye Beer,5.44,25.95,4.97 °L
Imperial Stout,Russian Imperial Stout,8.95,69.16,39.77 °L
20: Chainbreaker White IPA Clone,Specialty IPA: White IPA,6.16,61.32,3.92 °L
Anchor Liberty Ale Clone,American Pale Ale,5.61,41.16,4.3 °L
AleSmith IPA Clone - 20L,American IPA,8.57,42.29,11.22 °L
Captain Hooked On Bitters: Redhook ESB Clone,Extra Special/Strong Bitter (ESB),4.86,21.51,14.37 °L
18/06/2017 Red Ale,Irish Red Ale,6.4,31.19,14.04 °L
Dead Ringer IPA - Northern Brewer,American IPA,6.34,66.15,8.19 °L
Dark Days Porter,Robust Porter,6.17,29.71,40 °L
Mac's - Founders Centennial IPA Clone,American IPA,7.39,68.7,14.85 °L
Victory Dirtwolf Clone,Imperial IPA,8.98,121.81,6.31 °L
Belgian Wheat Beer,Witbier,4.96,31.02,3.02 °L
Chocolate Orange Stout,Russian Imperial Stout,9.18,27.73,29.92 °L
#123 Big Winter Beery Beer,Schwarzbier,8.45,33.52,28.14 °L
Murphy's Stout Clone,Irish Stout,5.4,40.24,50 °L
Galaxy SMaSH,American IPA,5.41,78.55,5.44 °L
Peroni,Bohemian Pilsener,5.25,14.54,3.95 °L
Pirate Life Pale Ale,American Pale Ale,6.29,57.25,5.65 °L
Sierra Nevada Tropical IPA,American IPA,6.63,52.53,6.61 °L
Grimbergen Dubbel-ambree Clone,Belgian Dubbel,6.43,24.27,21.02 °L
NixonBrew - Red Ipa - Flipside Clone,American IPA,7.54,77.88,14.8 °L
Bakke Brygg Saison GAMMEL 25 L,Saison,7.09,25.59,5.28 °L
Pseudo Zombie,American IPA,6.14,67.99,9.16 °L
Arrogant Bastard Clone,American Amber Ale,6.74,96.59,19.03 °L
Triple IPA,Imperial IPA,11.93,215.33,5.58 °L
#SerNEpper,Specialty IPA: New England IPA,6.3,46.65,5.68 °L
Pale Pilsner Ale,Standard/Ordinary Bitter,4.86,43.78,5.24 °L
Franziskaner Clone,Weissbier,5.24,15.71,2.84 °L
Maple Imperial Breakfast Stout,Imperial Stout,11.99,48.47,50 °L
03 TABLE ENGLISH ALE,Ordinary Bitter,3.82,31.26,4.94 °L
Spiced Winter Ale,Winter Seasonal Beer,8.56,22.54,30.06 °L
La Chouffe Clone,Belgian Golden Strong Ale,8.31,28.75,4.57 °L
Hobgoblin Clone,Strong Bitter,5.58,35.93,17.65 °L
Punk IPA (if Brewdog Were Trill),American Pale Ale,6.09,38.22,5.5 °L
Ramblin' Rose - SMaSH IPA,American IPA,6.98,79.49,3.52 °L
Imperial Red Ale,American Strong Ale,8.18,69.51,17.95 °L
Guinness Stout Clone,Dry Stout,4.87,42.01,34.22 °L
Xocoveza Clone,American Stout,7.88,36.04,50 °L
Peanut Butter Porter,English Porter,5.68,22.71,35.03 °L
Little Creatures Pale Ale Clone Little Creatures Pale Ale Clone V1,American Pale Ale,4.81,19.76,4.4 °L
Mama's Apple Pie Oatmeal Stout,Oatmeal Stout,6.3,13.18,40 °L
Chocolate Oatmeal Stout,Oatmeal Stout,5.65,29.83,39.05 °L
Mex Lager,American Lager,5.24,24.92,2.66 °L
Showing Her My O Face (Sam Adams Oktoberfest Clone),Oktoberfest/Märzen,5.53,16.72,12.91 °L
5 Gallon NE IPA,American IPA,4.49,24.06,6.37 °L
Speidel #4 Lucky Jack APA,American Pale Ale,5.59,28.57,11.36 °L
Stone & Wood Pacific Ale,American Amber Ale,6.06,30.41,7.01 °L
Citra IPL,American Lager,5.6,42.39,4.83 °L
Green Flash West Coast IPA Clone,American IPA,7.63,109.9,8.32 °L
Chocolate Peanut Butter Milk Stout,Sweet Stout,5.48,31.86,37.99 °L
BOURBON VANILLA IMPERIAL PORTER,Russian Imperial Stout,9.11,33.88,40 °L
EAST Meets WEST Double IPA (Batch #3),Imperial IPA,8.82,114.09,5.8 °L
Another Citrus IPA,American IPA,7.17,93.82,5.99 °L
Peach Wheat Beer,American Wheat Beer,6.79,33.3,10.03 °L
German Pilsner,German Pilsner (Pils),3.97,32.97,2.69 °L
Stone 15th Anniversary Esocdidian Black Ipa Clone,Imperial IPA,10.37,111.99,40 °L
Russian River Pliny The Younger Clone,Imperial IPA,11.11,286.93,6.12 °L
Spring Kölsch,Kölsch,4.84,27.14,3.79 °L
Very Pale Ale,American Pale Ale,5.03,31,5.85 °L
Uinta Wyld Clone CYBI Recipe,American Pale Ale,5.45,11.5,6.52 °L
Citra Pale Ale,American Pale Ale,5.68,38.49,6.41 °L
Rice Lager,Standard American Lager,5.33,11.5,3.1 °L
Best Bitter,American Amber Ale,7.6,43.54,11.08 °L
NEIPA #11: Voss Kveik,Specialty IPA: New England IPA,6.78,52.81,4.71 °L
They Stole Our Fleg - Irish Red,Irish Red Ale,4.98,26.17,9.67 °L
Mexican Vienna (Victoria Clone),Vienna Lager,4.32,20.94,7.19 °L
Abbot Ale Style,Special/Best/Premium Bitter,5.14,36.05,11.85 °L
The Great Pumpkin....Ale,"Spice, Herb, or Vegetable Beer",5.7,22.42,13.41 °L
Bakke Brygg Wit 25 L,Witbier,4.92,14.41,3.38 °L
Oatmeal Raisin Cookie Stout,Foreign Extra Stout,8.33,47.42,40 °L
Pastry Stout,Sweet Stout,9.2,24.32,41.94 °L
Weihenstephaner Wheat Beer,Weizenbock,6.43,14.5,6.82 °L
Lagunitas Maximus IPA Clone,American IPA,6.72,46.09,12.75 °L
Sierra Navada Kellerweis Clone,Weizen/Weissbier,4.82,14.7,4.98 °L
Rickards Red Clone,Irish Red Ale,5.55,22.5,11.46 °L
Spring NEIPA,Specialty IPA: New England IPA,6.07,99.21,5.27 °L
Pataskala Clone,Specialty IPA: Red IPA,6.62,83.21,14.21 °L
#0014 Tropicalia Clone,American IPA,6.43,101.6,7.72 °L
Dos Equis Clone,American Amber Ale,5.53,15.81,10.07 °L
Sam Adams Noble Pils Clone,Classic American Pilsner,4.94,32.66,3.37 °L
Orange Blossom Cream Ale,Cream Ale,5.06,11.98,4.98 °L
Simple Dry Lemon Mead,Dry Mead,10.63,0,5.1 °L
Obsidian Stout,American Stout,6.75,47.84,40 °L
Young's Double Chocolate Stout Clone,Sweet Stout,4.55,29.89,30.4 °L
Infinite Spunky Cage: Session IPA,American Pale Ale,4.24,47.19,9.46 °L
Bodhizafa Clone,Specialty IPA: Belgian IPA,6.68,84.79,9.06 °L
Brooklyn East India Pale Ale Clone,American IPA,6.39,131.09,7.2 °L
Passion Fruit & Mango Sour Ale,Mixed-Fermentation Sour Beer,4.61,0,4.22 °L
Sweetwater IPA Clone,American IPA,6.47,62.72,8.65 °L
Milkshake IPA,American IPA,6.07,55.57,4.69 °L
3 FLoyds Zombie Dust,American IPA,6.6,42.2,8.47 °L
IRISH RED ALE,No Profile Selected,4.32,25.94,12.42 °L
White House Honey Porter (Official Recipe),Brown Porter,5.37,19.81,24.79 °L
Jeremy Corbeeryn (Hoppy Red Ale),American Amber Ale,5.87,44.5,12.99 °L
Chocolate Coconut Porter,English Porter,6.06,26.03,29.42 °L
Lord Vader Imperial Stout,Imperial Stout,10.06,56.04,50 °L
Honey Brown Ale,Mild,4.77,20.61,17.4 °L
Bourbon Whiskey Mash,Experimental Beer,18.97,0,5.89 °L
Extract White IPA,American IPA,7.05,81.02,5.87 °L
American Pale Ale Single Hop - Cascade,American Pale Ale,4.83,32.14,4.19 °L
Weihenstephaner Clone,Weissbier,5.7,9.4,3.81 °L
Bluer Moon (Blue Moon Clone),Witbier,4.99,15.05,3.74 °L
Simple Kölsch BIAB,Kölsch,4.63,22.32,3.78 °L
Cascanookitra,Imperial IPA,7.95,61.47,12.08 °L
Voodoo Ranger Juicy Haze Clone,Specialty IPA: New England IPA,5.94,43.84,12.09 °L
Elsa's Lusty Winter Ale V2.7,Winter Seasonal Beer,7.63,32.85,24.7 °L
Mango Lassi Milkshake IPA,Double IPA,7.67,62.54,10.49 °L
Golden Challenge,British Golden Ale,5.37,35.29,6.52 °L
Irish Death Clone,Sweet Stout,10.3,42.47,40 °L
Asahi Clone,American Lager,4.97,17.51,2.31 °L
Citra And Lime Gose,Gose,4.64,8.82,3 °L
Theakston Old Peculier Clone,Old Ale,5.55,32.86,42.38 °L
Russian River - Pliny The Elder (approximation)  Braumeister 20l,Imperial IPA,7.86,83.38,5.95 °L
Dry Pale Ale (Chinook/Cascade),American Pale Ale,5.57,65.2,5.39 °L
Plinian Legacy Double IPA,American IPA,7.64,68.03,5.85 °L
Superman's Breakfast Stout.,Oatmeal Stout,10.36,39.37,40 °L
NEIPA #07: Sabro/Azacca/Motueka,Specialty IPA: New England IPA,8.94,64.11,5.4 °L
Lemon Ginger Radler,California Common Beer,4.51,25.42,3.62 °L
Dogfish Head Punkin Ale Clone,American Barleywine,6.63,16.54,14.06 °L
IPA,American IPA,6.88,75.04,10.41 °L
Avg. Perfect Northeast IPA (NEIPA) 1 Gallon Conversion,American IPA,6.54,65.34,5.2 °L
Blue Moon Clone,Witbier,3.48,20.79,2.9 °L
Maine Lunch Clone,American IPA,6.04,101.13,7.25 °L
Russian River Blind Pig Clone,Imperial IPA,6.68,67.99,5.89 °L
Marshmallow Milk Stout,Sweet Stout,5.42,31.16,40 °L
Tonybaga Red (Cigar City Tocobaga Red Clone),American IPA,7.11,78.37,18.21 °L
Vaiduoklė,Belgian Dubbel,7.72,20.91,19.29 °L
Modelo Especial,International Pale Lager,6.06,16.41,3.42 °L
Little Sumpin Sumpin Clone,American IPA,5.98,92.67,5.65 °L
Alt-Right Can Suck It,Düsseldorf Altbier,6.34,54.02,12.98 °L
Sip Of Sunshine Clone,American IPA,7.69,89.27,6.65 °L
#108 Hoppy Saison,Saison,5.03,21.61,2.72 °L
02 TABLE FARMHOUSE ALE,Witbier,3.68,15.88,3.58 °L
Trappist Style Tripel (great Westmalle Clone),Belgian Tripel,9.29,23.77,5.49 °L
Rye Pale Ale 19,American Pale Ale,5.57,33.66,11.01 °L
Lily's Irish Red Ale - Sam Adams Clone,Irish Red Ale,6.68,47.8,27.44 °L
Bone Dry Belgian Blonde,Belgian Blond Ale,6.54,23.63,3.87 °L
Speidel # Kölsch,Kölsch,4.97,25.43,3.29 °L
West Coast CITRA IPA,American IPA,7.38,96.67,6.55 °L
NixonBrew - Yuengling Lager Clone,Vienna Lager,5.54,15.37,12.65 °L
Leffe Brune Clone,Belgian Dubbel,6.56,29.42,19.42 °L
Sierra Nevada Pale Ale Clone,American Pale Ale,5.31,38.37,6.38 °L
Pretzel Wheat,American Amber Ale,5.87,30.65,14.43 °L
Soopa Star (Stella Artois Clone),Bohemian Pilsener,5,18.56,3.16 °L
Fuller's ESB Clone,Strong Bitter,5.18,33.4,10.98 °L
IRA,Specialty IPA: Red IPA,6.37,73.51,16.41 °L
Dirty Bastard Clone,Strong Scotch Ale,8.46,53.49,22.41 °L
NEIPA Galaxy-Ella-Vic Secret,American IPA,5.79,32.92,4.58 °L
Tamarind Witbier,Witbier,5.16,18.98,4.02 °L
#122 Hazy IPA,American Pale Ale,6.15,48.92,3.17 °L
NE IPA: Citra/Mosaic/Galaxy,American IPA,6.79,105.55,4.45 °L
Southern Tier Creme Brulee Clone,Sweet Stout,10.3,17.27,50 °L
Juicy Bits Clone,American IPA,6.68,45.25,4.46 °L
Bud Clone,American Lager,5.07,12.26,2.91 °L
Belgian Red,Irish Red Ale,5.64,27.45,15.66 °L
Maui Big Swell IPA Clone,American IPA,6.54,74.86,6.04 °L
Jamil's 80 Shilling Scottish Ale,Scottish Export 80/-,4.78,23.62,14.18 °L
Maris Otter/Citra Smash IPA,American IPA,6.52,76.68,6.74 °L
Pacifico Clone,American Light Lager,4.74,13.4,2.92 °L
Hibiscus Saison,Saison,4.53,25.68,2.94 °L
Switchback Ale Clone Take 1,American Amber Ale,5.01,29.87,12.26 °L
Left Hand Milk Stout Clone,Sweet Stout,5.31,22.95,38.61 °L
Meantime IPA Clone,English IPA,7.26,36.61,8.45 °L
Cherry Wheat Ale,American Wheat or Rye Beer,5.07,26.15,3.59 °L
Balter XPA,American IPA,5.05,51.01,5.19 °L
KONA Big Wave Clone 02.11,Blonde Ale,4.96,23.46,5.16 °L
Apple Cyser With Cherries Mead,Cyser (Apple Melomel),16.38,0,6.74 °L
Kriek,Fruit Lambic,5.95,24.93,5.02 °L
21st Amendment's Brew Free! Or Die IPA Clone,American IPA,6.58,70.58,6.12 °L
Kasteel Donker ( Updated ),Belgian Dark Strong Ale,8.22,13.63,40.46 °L
Passionfruit-Mango Wheat,Fruit Beer,4.48,25.8,3.54 °L
Madd Vanilla Coffee Porter,Robust Porter,7.14,39.19,31.79 °L
The Proposition,Specialty IPA: Red IPA,8.49,68.9,18.71 °L
Impeachment Ale,Blonde Ale,5.78,26.61,3.52 °L
Vanilla Stout,Russian Imperial Stout,9.51,26.97,38.11 °L
SMaSH The Galaxy IPA,American IPA,6.59,66.82,4.24 °L
"""Beginner's Luck"" OneHop Pale Ale",American Pale Ale,4.6,49.49,10.5 °L
Hazy Jane Clone,Specialty IPA: New England IPA,6.3,0,6.53 °L
Porter,Brown Porter,5.15,29.06,22.65 °L
Oatmeal Pale Ale,American Pale Ale,5.19,54.92,3.9 °L
Sixpoint Resin Clone,Imperial IPA,9.14,116.29,12.44 °L
Golden NW Extra Special Bitter,Extra Special/Strong Bitter (ESB),5.08,46.65,4.4 °L
Peach Pale Ale,American Pale Ale,5.31,39.92,5.19 °L
#109 Myopic Beer,American IPA,8.15,49.7,12.85 °L
Mosaic IPL,No Profile Selected,6.16,65.99,7.67 °L
Summer Citrus IPA,American IPA,6.32,90.82,6.84 °L
Bourbon County Stout Clone,Russian Imperial Stout,13.68,60.05,50 °L
Råger,Saison,5.42,23.92,5.62 °L
Extract Citra Pale Ale,American Pale Ale,5.36,35.8,7.72 °L
Wheat,American Wheat Beer,5.48,29.73,4.73 °L
White/golden Stout,American Stout,7.38,35.13,9.71 °L
"Einstok Olgerd, White Ale Clone",Witbier,4.88,10.62,5.21 °L
One Wish Irish Stout,American Stout,7.4,77.57,40 °L
Second Hand Store (Raspberry Berliner Weisse),Berliner Weisse,3.43,6.67,2.65 °L
Maple Pecan Brown Ale,American Brown Ale,5.31,21.86,19.88 °L
Rincon Pale,American Pale Ale,6.16,47.07,7.17 °L
Rincon Pale,American Pale Ale,6.16,47.07,7.17 °L
Abraxas Clone,Imperial Stout,14.11,79.17,50 °L
Sam Adams Winter Lager Clone,"Spice, Herb, or Vegetable Beer",5.87,17.86,13.85 °L
Ægir IPA Clone,American IPA,6.78,55.04,11.75 °L
Pineapple Milkshake IPA,American IPA,6.41,84.64,4.57 °L
Mikkeller Vesterbro Pilsner,Bohemian Pilsener,5.64,38.89,5.48 °L
Brewdog Vs Cloudwater NEIPA,American IPA,5.99,36.49,5.1 °L
Blonde Ale,Blonde Ale,4.78,17.72,4.47 °L
Bad Bread,Weizen/Weissbier,4.58,12.93,3.33 °L
Abbey Single,Trappist Single,5.83,25.08,7.15 °L
Winter Maple Cream Ale,Cream Ale,7.34,12.82,15.48 °L
Zombie Dust Clone,American IPA,5.84,67.22,6.06 °L
IPA Experiment 2 - Munich Malt,American IPA,5.47,68.74,10.86 °L
Lagunitas IPA Clone,American IPA,5.36,42.08,8.48 °L
Simcoe & Mosaic IPA,American Pale Ale,5.44,56.64,6.89 °L
Belgian Dubbel (BIAB),Belgian Dubbel,5.93,19.55,15.38 °L
Oakham Citra Clone,American Pale Ale,4.62,39.26,8.11 °L
002,American Pale Ale,4.81,42.43,4.61 °L
Bell's Best Brown Clone - All Grain,Northern English Brown,5.76,27.8,19.88 °L
Stout #3,Imperial Stout,12.83,71.24,50 °L
TBM Mosaic Pale Ale,American Pale Ale,5.56,48.71,7.81 °L
Chocolate Peanut Butter Stout,Irish Stout,6.69,30.19,33.28 °L
Dark Heart Root Beer,Russian Imperial Stout,9.9,52.9,40 °L
Anchor Steam Clone,California Common Beer,4.9,32.77,10.79 °L
Red November,Irish Red Ale,5.22,23.35,18.3 °L
043: Grisette,Saison,3.22,30.18,2.12 °L
Amendurå (De Molen Amarillo Clone) V4,Belgian Specialty Ale,7.21,50.01,26.55 °L
Saison Dupont,Saison,6.51,31.81,3.64 °L
Aurum,American IPA,7.93,78.8,6.06 °L
Lagunitas IPA Clone Braumeister 20l,American IPA,5.77,58.08,4.93 °L
English Amber Ale (199),American Amber Ale,5.19,22.46,17.08 °L
12 Wittbier,Witbier,5.18,20.85,3.9 °L
Chocolate Milk Stout (Patio 1812),Sweet Stout,5.6,24.52,28.58 °L
Porterline Syndrome ( Leffe Brune ),Baltic Porter,6.41,19.62,19.31 °L
Lemon Ale,American IPA,5.31,40.62,9.14 °L
Czech Pilsner,Czech Pale Lager,5.16,23.24,2.96 °L
Omnipollo Double Rasberry/ Vanilla Smoothie IPA,Clone Beer,5.93,60.63,4.28 °L
90 Shilling Clone,American Amber Ale,5,59.22,13.69 °L
Easy Pale Ale,American Pale Ale,5.64,34.83,9.28 °L
"Elder Flower, Rose Hips, Chamomile Mead",Metheglin,12.22,0,4.29 °L
Mexican Calif Cerveza Lager - Pacifico,Light American Lager,4.85,25.96,2.93 °L
La Fin Du Monde Clone,Belgian Tripel,9.16,23.1,7.2 °L
Great Lakes Brewing Co. - Edmund Fitzgerald Porter Clone,Brown Porter,5.13,59.6,34.11 °L
Burdel Abstemia Blonde 7.5gal  5 Ago,Blonde Ale,4.2,15.5,4.58 °L
Abbay Tripel Syndicate,Belgian Tripel,9.19,20.13,4.82 °L
Chocolate Raspberry Stout,Foreign Extra Stout,6.05,29.31,40.35 °L
Mosaic SMASH,American Pale Ale,4.95,30.72,3.96 °L
LAWSON'S SIP OF SUNSHINE CLONE,American IPA,8.07,69.28,6.38 °L
Trois Pistoles Clone,Belgian Dark Strong Ale,8.05,19.24,31.45 °L
American Dark Wheat,Belgian Specialty Ale,4.98,14.1,20.19 °L
Nice Little Porter,Brown Porter,5.25,28.93,22.69 °L
Westmalle Tripel Clone,Belgian Tripel,9.37,38.1,3.55 °L
St. Bernardus Wit Clone,Witbier,5.54,12.9,4.53 °L
Hoppy Hefeweizen,Weizen/Weissbier,5.51,38.12,3.86 °L
David Duvel,Belgian Golden Strong Ale,7.4,30.26,3.93 °L
Lagunitas Little Sumpin' Sumpin' Clone,American IPA,6.21,50.47,5.97 °L
Barleywine,English Barleywine,10.78,66.9,22.56 °L
Widmer Hefeweizen,American Wheat Beer,4.69,29.98,4.99 °L
Red X IPA -V1,American IPA,7.59,92.71,15.95 °L
Gose To 11,Gose,4.58,8.96,4 °L
Jack's Barking Key Lime Pie Pale Ale,American Pale Ale,4.91,36.05,10.49 °L
Orfy's Mild Mannered Ale,Mild,3.2,22.87,18.16 °L
Three Floyds Dreadnaught Imperial IPA,Imperial IPA,7.81,119.06,8.17 °L
Summertime Hefe,Weizen/Weissbier,5.72,12.71,6.07 °L
Block Party Amber Ale,American Amber Ale,4.65,17.82,15.82 °L
Hazy IPA 1 Gallon,American IPA,6.7,81.26,4.41 °L
Dos Equis Amber Clone #1,Vienna Lager,4.87,22.15,10.3 °L
American IPA,American IPA,5.69,45.04,6.79 °L
Sour Ale - IPA Kettle Sour,Fruit Lambic,6.32,6.3,4.13 °L
Cascade Pale Ale,American Pale Ale,5.86,35.56,5.22 °L
Blueberry Wheat,American Wheat Beer,5.33,20.19,3.98 °L
HopWeary 5.25 Gallons,American Pale Ale,5.42,68.12,3.79 °L
Cascade SMaSH,American IPA,5.33,53.07,3.52 °L
Hop-Fu! IPA,Imperial IPA,6.83,58.47,4.98 °L
05 TRIPLE MASH MILK STOUT,Imperial Stout,13.5,101.14,50 °L
Ten Fidy Clone 5 Gal,Robust Porter,10.62,105.56,40 °L
Mike's Easy Hard Cider,Common Cider,5.02,0,8.2 °L
Surly Furious,American IPA,6.05,110.23,15.64 °L
2014 - 7/28 - Heady Topper Clone,Imperial IPA,6.87,112.67,7.06 °L
Nanny State,No Profile Selected,0.3,55.43,11.39 °L
Pale Ale 23L,American Pale Ale,4.77,34.04,5.44 °L
Stone Sublimely Self-Righteous Ale (Black IPA),Imperial IPA,8.73,66.02,32.38 °L
Hopworks IPA Clone,American IPA,6.11,79.69,8.08 °L
Oatmeal Porter,Robust Porter,5.04,35.5,24.9 °L
Tropical Pale Ale,American Pale Ale,6.17,52.39,6.59 °L
Blanche,Witbier,4.98,13.61,4.11 °L
Negra Modelo Clone,Vienna Lager,5.38,24,13.76 °L
Red Irish Oops,Irish Red Ale,5.76,22.7,16.86 °L
BacK In BlacK IPA,Specialty IPA: Black IPA,6.49,78.88,31.54 °L
Coffee Oatmeal Stout,Oatmeal Stout,4.76,26.7,39.4 °L
Citrus Wheat,American Wheat or Rye Beer,5.48,24.22,5.43 °L
Hilltopper's Pride Kentucky Common,Kentucky Common,5.52,19.8,13.67 °L
Chinook IPA Northern Brewer,American IPA,5.36,43.79,3.02 °L
Jamil's Blonde Ale,Blonde Ale,4.71,19,4.09 °L
New Belgian Cherry Ale,Specialty Fruit Beer,6.64,39.01,7.56 °L
Russian River Pliny The Elder Clone,Imperial IPA,8.75,209.24,6.37 °L
Rosemary Sage Gruit Ale,Specialty Beer,7.15,0,23.61 °L
Tangelo Lemongrass IPA,American IPA,6.26,73.79,6.5 °L
Claude's House Pale,American Pale Ale,5.41,44.58,10.47 °L
New Belgium's Citradelic Clone,American IPA,5.42,55.24,10.13 °L
Belgian Table Beer,Belgian Pale Ale,4.8,20.3,4.84 °L
07: German Hefeweizen,Weizen/Weissbier,4.96,15.23,3.39 °L
Innis & Gunn Clone,Scottish Export 80/-,5.8,23.94,9.58 °L
Coffee IPA,American IPA,6.8,68.43,5.19 °L
Flat Tire-ish,Classic American Pilsner,5.32,39.31,5.73 °L
Gulden Draak Clone,Belgian Dubbel,9.5,23.86,11.86 °L
Chocolate Cherry Stout,Foreign Extra Stout,8.15,44.82,39.26 °L
Schwarzbier,Schwarzbier,5.57,22.01,21.36 °L
Railgun's Basic Braggot,Braggot,8.37,0,12.43 °L
Ten Pounds IPA - 10 Gallon,American IPA,6.64,69.29,4.43 °L
2016 - 1/2  --- Maduro - Cigar City Clone,American Brown Ale,4.81,21.16,28.81 °L
04 TABLE STRONG ALE,Wee Heavy,3.86,20.5,25.8 °L
Citra IPA - Partial Mash,American IPA,7.43,68.1,11.7 °L
"Spotted Cow  ""Clone""",Cream Ale,4.7,22.9,4.2 °L
Coffee Blackout Stout,Russian Imperial Stout,9.61,66.7,40 °L
Firestone Walker Double Jack Clone,Imperial IPA,9.55,112.58,8.81 °L
"Clone, Goose Island Sophie",Saison,6.23,26.84,3.84 °L
Munich Dunkel (BYO),Munich Dunkel,5.36,19.91,23.41 °L
Chocolate Cherry Imperial Stout,Russian Imperial Stout,11.1,88.47,31.03 °L
Hill Farmstead Edward Clone- Partial,American Pale Ale,6.46,95.21,8.25 °L
Dragonmead Final Absolution,Belgian Tripel,8.47,28.3,6.1 °L
G'Knight Clone (Oskar Blues),Double IPA,8.49,68.49,13.66 °L
"Magnum PA - Single Malt, Single Hop",American Pale Ale,5.93,60.03,6.34 °L
Shepherd Neame Spitfire Clone,Strong Bitter,5.75,34.89,10.64 °L
Boulevard Wheat Clone,American Wheat or Rye Beer,4.94,15.07,3.59 °L
JUNIPER WHEAT BEER,Weissbier,6.2,18.09,7.01 °L
Honey Brown Ale (sleeman Clone),American Amber Ale,5.88,42.58,8.78 °L
Hop Cliff,No Profile Selected,9.12,142.44,14.07 °L
Belgian Red Ale,Belgian Specialty Ale,7.47,23.22,25.9 °L
Thanksgiving Cranberry Wheat Ale,"Spice, Herb, or Vegetable Beer",6.85,30.76,10.42 °L
Strawberry Milkshake IPA,American IPA,6.67,96.89,5.91 °L
Neck Oil Clone,American Pale Ale,4.71,35.54,7.88 °L
Chocolate Milk Stout,Sweet Stout,6.58,36.44,42.11 °L
Summer Shandy,Weissbier,5.16,10.76,3.39 °L
Sour Cherry Saison,Saison,6.82,34.61,12.19 °L
Tiny Rebal Cwtch Clone,American Amber Ale,4.78,49.2,13.96 °L
Fuller's ESB,Extra Special/Strong Bitter (ESB),5.42,25.73,8.54 °L
Dark Skies Black IPA,Specialty Beer,5.63,83.12,35.06 °L
Anchor Porter Clone,American Porter,5.25,38.99,36.2 °L
Belgian Amber,Belgian Specialty Ale,6.65,15.28,14.55 °L
10 Gallon All Grain Raspberry Wheat,American Wheat or Rye Beer,4.89,24.61,6.36 °L
“It’s All Mine So Keep Back”,Berliner Weisse,3.36,10.25,2.55 °L
Maris Otter Centennial SMaSH,American IPA,5.94,71.36,6.66 °L
White House Honey Ale.7,American Pale Ale,7.06,25.45,10.3 °L
Kolsch,Kölsch,4.72,24.61,3.02 °L
Golden Nuggets Pale Ale,American Pale Ale,4.51,39.73,4.68 °L
Toasted Coconut Porter,Robust Porter,5.99,44.3,33.97 °L
DIPA V.12,Specialty IPA: New England IPA,8,110.42,11.1 °L
American DIPA,Imperial IPA,8.89,100.57,9.31 °L
Boston-Ale Clone,American Pale Ale,4.93,32.72,8.91 °L
Chocolate Vanilla Stout,American Stout,6.68,40.49,40 °L
Traditional Kolsch (German),Kölsch,4.8,26.96,4.14 °L
Blonde,Belgian Blond Ale,6.75,28.24,5.22 °L
Caribbean Haze 23L,Specialty IPA: New England IPA,7.79,57.7,5.01 °L
Coffee Blonde Ale,Blonde Ale,5.12,21.2,6 °L
Cubby Claus Spiced Maple Christmas Porter,Robust Porter,6.29,37.38,23.06 °L
Belgian Witbier (OG 1.058) - 1 Gallon,Witbier,5.52,12.64,3.69 °L
Amarillo Single Hop Ale,American Amber Ale,5.04,70.09,4.11 °L
Vanilla Night Sky,Strong Bitter,7.9,22.53,50 °L
West Coast IPA Clone,American IPA,7.07,109.92,8.38 °L
Licorice Stout,American Stout,7.8,45.88,41.23 °L
Bavarian Pilsner,German Pilsner (Pils),9.97,42,5.21 °L
Brewing Classic Styles - American Wheat (Yeast Substitute),American Wheat or Rye Beer,3.94,21.68,4.25 °L
