Peanut Butter Brown Ale,American Brown Ale,5.7,29.01,29.83 °L
Hazy 1.0,Specialty IPA: New England IPA,6.63,27.46,4.86 °L
Extract Citra IPA,American IPA,5.82,83.24,8.96 °L
Burdel Abstemia  24 Ago,Experimental Beer,1.91,10.3,2.67 °L
Voodoo Ranger Juicy Haze Clone,Specialty IPA: New England IPA,7.34,37.25,7.31 °L
St. Arnold Of Soissions Dunkelweizen #1,Dunkelweizen,5.58,14.03,18.41 °L
Second Runnings Stout,Dry Stout,4.23,54.23,40 °L
Juleøl,Strong Scotch Ale,8.81,16.52,27.06 °L
Berliner Weisse On Fruit,Berliner Weisse,5.09,5.32,2.92 °L
Belle's Helles,Munich Helles,4.93,17.88,4.43 °L
Bohemian Barleywine,English Barleywine,17.83,34.41,9.9 °L
Trappistes Rochefort 6,Belgian Dubbel,7.34,27.32,27.18 °L
Vienna-Citra SMaSH,American IPA,6.29,49.46,7.44 °L
Vienna Lager,Vienna Lager,6.66,22.23,6.43 °L
Standard English Pub Ale,Standard/Ordinary Bitter,5.4,31.8,5.89 °L
Wee Heavy,Wee Heavy,11.53,37.12,33.69 °L
A For Effort IPA,American IPA,7.9,86.16,8.19 °L
Shandy,American Wheat or Rye Beer,5.45,18.77,4.38 °L
Hefeweizen 16 BBL,Weissbier,5.07,11.48,4.18 °L
Cream Of Three Crops,Cream Ale,3.9,19.47,2.65 °L
Black IPA,Specialty IPA: Black IPA,6.85,67,32.8 °L
Nottingham Bock,Doppelbock,7.03,25.5,16.17 °L
Coffee Pale Ale,American Pale Ale,5.41,42.03,35.26 °L
Chocolate Strawberry Milk Stout,Sweet Stout,5.35,25.78,40.22 °L
Beet Beer,California Common Beer,5.46,44.74,3.59 °L
Caledonian 80/-,Scottish Export 80/-,4.78,36.38,23.29 °L
Huell Melon Pale Ale,American Pale Ale,5.74,35.29,7.31 °L
All Black IPA,Specialty IPA: Black IPA,6.96,65.95,28.14 °L
DARK WHEAT BEER,Dunkelweizen,4.86,38.07,18.19 °L
Pops Imperial IPA (Brazilian IPA),Imperial IPA,8.97,99.1,12.87 °L
AAA,American Amber Ale,4.11,32.95,7.01 °L
LIPA I Mosaic,American IPA,2.86,49.87,8.76 °L
Jopen Mooie Nel Clone,American IPA,6.84,87.08,8.04 °L
